2026-03-13 14:32:48 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 14:32:49 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='1', reason='idle_gpu_selected', gpu_index=1, gpu_name='NVIDIA RTX A6000')
2026-03-13 14:33:12 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Running BF16/FP baseline evaluation
2026-03-13 14:33:39 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Loading reference model for original-vs-quantized statistics
2026-03-13 14:33:43 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collecting statistics for layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 14:33:45 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 0 for layer model.layers.0
2026-03-13 14:33:48 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 1 for layer model.layers.0
2026-03-13 14:33:50 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 2 for layer model.layers.0
2026-03-13 14:33:52 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 3 for layer model.layers.0
2026-03-13 14:33:54 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 4 for layer model.layers.0
2026-03-13 14:33:56 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:33:57 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 6 for layer model.layers.0
2026-03-13 14:33:59 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 7 for layer model.layers.0
2026-03-13 14:34:30 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.self_attn.q_proj with target 3.0000 and achieved 2.8879 (relMSE=1.508822e-01, ref_delta=0.000000e+00)
2026-03-13 14:34:51 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.self_attn.k_proj with target 3.0005 and achieved 2.7010 (relMSE=2.014330e-01, ref_delta=0.000000e+00)
2026-03-13 14:35:13 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.self_attn.v_proj with target 3.0008 and achieved 2.6206 (relMSE=2.028948e-01, ref_delta=0.000000e+00)
2026-03-13 14:35:13 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collecting statistics for layer 0 stage ['o_proj']
2026-03-13 14:35:14 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 0 for layer model.layers.0
2026-03-13 14:35:14 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 1 for layer model.layers.0
2026-03-13 14:35:15 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 2 for layer model.layers.0
2026-03-13 14:35:16 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 3 for layer model.layers.0
2026-03-13 14:35:17 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 4 for layer model.layers.0
2026-03-13 14:35:18 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:35:19 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 6 for layer model.layers.0
2026-03-13 14:35:20 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 7 for layer model.layers.0
2026-03-13 14:35:59 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.self_attn.o_proj with target 3.0012 and achieved 2.8675 (relMSE=4.164206e-01, ref_delta=1.165787e-02)
2026-03-13 14:35:59 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collecting statistics for layer 0 stage ['gate_proj', 'up_proj']
2026-03-13 14:36:01 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 0 for layer model.layers.0
2026-03-13 14:36:01 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 1 for layer model.layers.0
2026-03-13 14:36:02 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 2 for layer model.layers.0
2026-03-13 14:36:03 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 3 for layer model.layers.0
2026-03-13 14:36:04 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 4 for layer model.layers.0
2026-03-13 14:36:05 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:36:06 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 6 for layer model.layers.0
2026-03-13 14:36:07 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 7 for layer model.layers.0
2026-03-13 14:38:54 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.mlp.gate_proj with target 3.0018 and achieved 2.9115 (relMSE=5.960391e-02, ref_delta=6.943099e-02)
2026-03-13 14:41:35 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.mlp.up_proj with target 3.0034 and achieved 2.9167 (relMSE=5.839476e-02, ref_delta=6.943099e-02)
2026-03-13 14:41:35 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collecting statistics for layer 0 stage ['down_proj']
2026-03-13 14:41:37 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 0 for layer model.layers.0
2026-03-13 14:41:39 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 1 for layer model.layers.0
2026-03-13 14:41:41 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 2 for layer model.layers.0
2026-03-13 14:41:43 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 3 for layer model.layers.0
2026-03-13 14:41:45 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 4 for layer model.layers.0
2026-03-13 14:41:47 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:41:48 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 6 for layer model.layers.0
2026-03-13 14:41:50 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Collected calibration batch 7 for layer model.layers.0
2026-03-13 14:53:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Quantized model.layers.0.mlp.down_proj with target 3.0050 and achieved 2.9143 (relMSE=3.643901e-01, ref_delta=3.498855e-02)
2026-03-13 14:53:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_norescaler | Completed layer 0 in 1195.24s
