2026-03-13 12:27:40 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 12:27:40 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='1', reason='idle_gpu_selected', gpu_index=1, gpu_name='NVIDIA RTX A6000')
2026-03-13 12:28:02 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Running BF16/FP baseline evaluation
2026-03-13 12:28:04 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Loading reference model for original-vs-quantized statistics
2026-03-13 12:28:07 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collecting statistics for layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 12:28:09 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 0 for layer model.layers.0
2026-03-13 12:28:11 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 1 for layer model.layers.0
2026-03-13 12:28:13 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 2 for layer model.layers.0
2026-03-13 12:28:15 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 3 for layer model.layers.0
2026-03-13 12:28:17 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 4 for layer model.layers.0
2026-03-13 12:28:19 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Collected calibration batch 5 for layer model.layers.0
2026-03-13 12:28:35 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Quantized model.layers.0.self_attn.q_proj with target 3.0000 and achieved 2.8762 (relMSE=2.300590e-01, ref_delta=0.000000e+00)
2026-03-13 12:28:43 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Quantized model.layers.0.self_attn.k_proj with target 3.0077 and achieved 2.6968 (relMSE=3.019076e-01, ref_delta=0.000000e+00)
2026-03-13 12:28:52 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_noresid | Quantized model.layers.0.self_attn.v_proj with target 3.0127 and achieved 2.6360 (relMSE=3.001497e-01, ref_delta=0.000000e+00)
