2026-03-13 13:57:44 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 13:57:45 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='1', reason='idle_gpu_selected', gpu_index=1, gpu_name='NVIDIA RTX A6000')
2026-03-13 13:58:07 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Running BF16/FP baseline evaluation
2026-03-13 13:58:09 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Loading reference model for original-vs-quantized statistics
2026-03-13 13:58:12 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 13:58:15 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.0
2026-03-13 13:58:17 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.0
2026-03-13 13:58:19 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.0
2026-03-13 13:58:21 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.0
2026-03-13 13:58:23 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.0
2026-03-13 13:58:25 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.0
2026-03-13 13:58:40 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.self_attn.q_proj with target 3.0000 and achieved 2.8762 (relMSE=2.300590e-01, ref_delta=0.000000e+00)
2026-03-13 13:58:48 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.self_attn.k_proj with target 3.0077 and achieved 2.6968 (relMSE=3.019076e-01, ref_delta=0.000000e+00)
2026-03-13 13:58:56 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.self_attn.v_proj with target 3.0127 and achieved 2.6360 (relMSE=3.001497e-01, ref_delta=0.000000e+00)
2026-03-13 13:58:56 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 0 stage ['o_proj']
2026-03-13 13:58:56 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.0
2026-03-13 13:58:57 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.0
2026-03-13 13:58:58 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.0
2026-03-13 13:58:58 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.0
2026-03-13 13:58:59 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.0
2026-03-13 13:59:00 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.0
2026-03-13 13:59:16 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.self_attn.o_proj with target 3.0187 and achieved 2.8806 (relMSE=4.575867e-01, ref_delta=1.174371e-02)
2026-03-13 13:59:16 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 0 stage ['gate_proj', 'up_proj']
2026-03-13 13:59:17 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.0
2026-03-13 13:59:18 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.0
2026-03-13 13:59:18 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.0
2026-03-13 13:59:19 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.0
2026-03-13 13:59:19 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.0
2026-03-13 13:59:20 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:01:29 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.mlp.gate_proj with target 3.0283 and achieved 2.9346 (relMSE=6.975629e-02, ref_delta=6.803128e-02)
2026-03-13 14:03:54 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.mlp.up_proj with target 3.0639 and achieved 2.9772 (relMSE=6.519080e-02, ref_delta=6.803128e-02)
2026-03-13 14:03:54 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 0 stage ['down_proj']
2026-03-13 14:03:56 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.0
2026-03-13 14:03:58 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.0
2026-03-13 14:04:00 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.0
2026-03-13 14:04:01 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.0
